pmid,pmcid,title,figure_id,figure_title,figure_url,source_node_name,source_node_type,source_node_uri,target_node_name,target_node_type,target_node_uri,edge_type_annotation,edge_type_prediction,result
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Telomere Erosion,process,http://purl.bioontology.org/ontology/HOIP/HOIP_0060049,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,posi,posi,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,DNA damage,process,http://purl.obolibrary.org/obo/NCIT_C16507,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,posi,posi,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Mitochondrial dysfunction,process,http://purl.bioontology.org/ontology/HOIP/HOIP_0002361,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,posi,posi,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Nutrient signaling dysfunction,process,http://purl.bioontology.org/ontology/HOIP/HOIP_0002130,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,posi,posi,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Proteostatic dysfunction,process,http://purl.bioontology.org/ontology/HOIP/HOIP_0060493,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,posi,posi,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,Chronic Inflammation,process,http://purl.obolibrary.org/obo/GO_0006954,posi,posi,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,Stem cell exhaustion,process,http://purl.bioontology.org/ontology/HOIP/HOIP_0040446,posi,posi,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,Nutrient signaling dysfunction,process,http://purl.bioontology.org/ontology/HOIP/HOIP_0002130,posi,posi,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,Proteostatic dysfunction,process,http://purl.bioontology.org/ontology/HOIP/HOIP_0060493,posi,posi,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Epigenetic factors,molecule,http://purl.bioontology.org/ontology/HOIP/HOIP_0060897,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,posi,posi,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,Telomere erosion,process,http://purl.bioontology.org/ontology/HOIP/HOIP_0060049,DDR,process,http://purl.obolibrary.org/obo/GO_0006974,posi,posi,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,Oncogene overexpression,process,http://purl.bioontology.org/ontology/HOIP/HOIP_0060805,DDR,process,http://purl.obolibrary.org/obo/GO_0006974,posi,posi,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,ROS,compound,http://purl.obolibrary.org/obo/CHEBI_26523,DNA damage,process,http://purl.obolibrary.org/obo/NCIT_C16507,posi,posi,True
